标题,播放数,链接
毕业倒计时：时光里的伤心旅客,705万,http://music.163.com/playlist?id=2219538180
你的青春里有没有属于你的一首歌？,1185万,http://music.163.com/playlist?id=2201879658
我最大的遗憾，是你的遗憾与我有关,811万,http://music.163.com/playlist?id=2201957752
◢◤Avicii丨当一切都结束的时候再叫醒我,763万,http://music.163.com/playlist?id=2193725733
100个伤感的瞬间，有没有你的心酸？,735万,http://music.163.com/playlist?id=2179646633
致回不去的校园，致那美好的曾经,514万,http://music.163.com/playlist?id=2182683172
节奏带感且时尚性感<100首Fashion BGM>,791万,http://music.163.com/playlist?id=2173059435
于时间的长廊上 你再也不等我,954万,http://music.163.com/playlist?id=2168895862
熬夜和想你，我都该戒掉了,1245万,http://music.163.com/playlist?id=2163517726
「怦然心动」喜欢你头发的淡淡西瓜味,705万,http://music.163.com/playlist?id=2182092714
"""多少人以朋友的名义爱着一个人? """,683万,http://music.163.com/playlist?id=2162749304
「毕业将至」我最想和你做的六十一件事。,540万,http://music.163.com/playlist?id=2178572409
细数那些值得单曲循环的民谣,649万,http://music.163.com/playlist?id=2150055953
华语 | 我没有很想你，只是经常梦见你,515万,http://music.163.com/playlist?id=2172208421
我爱你 第一句是假的 第二句也是假的,1267万,http://music.163.com/playlist?id=2144281377
以丧止丧 听一首把自己感动到哭的丧的歌,699万,http://music.163.com/playlist?id=2141039987
你不知道我多羡慕你特立独行的样子,505万,http://music.163.com/playlist?id=2154763064
哼首欢快的歌 来拯救你的小确丧,700万,http://music.163.com/playlist?id=2144082923
岁月如潮水，将我向老歌推,1211万,http://music.163.com/playlist?id=2139305008
歌词唱透了心声，回忆模糊了眼眸,1107万,http://music.163.com/playlist?id=2139324915
节奏带感且深邃性感 ️️这才系Deep House呀,863万,http://music.163.com/playlist?id=2139118830
求求你们了，让我睡会儿好不好,681万,http://music.163.com/playlist?id=2131958935
生活，太需要这些节奏了,641万,http://music.163.com/playlist?id=2133712293
台湾偶像剧黄金年代|记忆是阵阵花香,624万,http://music.163.com/playlist?id=2134421380
下次理发我要让我的Tony播放这个歌单,1335万,http://music.163.com/playlist?id=2120785460
「不老女声」你 是 窗 前 深 浅 白 月 光,751万,http://music.163.com/playlist?id=2121679666
致暗恋：陪伴是最怂的告白,604万,http://music.163.com/playlist?id=2127074784
暖春，寄一首阳光明媚的歌给你,578万,http://music.163.com/playlist?id=2114030515
再听这些歌时你已热泪盈眶，你曾是少年,574万,http://music.163.com/playlist?id=2128858806
『無前奏 | 女嗓』开口即跪 心醉神迷.,1258万,http://music.163.com/playlist?id=2089907261
当你穿山越岭，我把我唱给你听,626万,http://music.163.com/playlist?id=2131695543
赶走阴霾 来一首欢快的欧美小调,802万,http://music.163.com/playlist?id=2084738832
仙人抚我顶，结发受长生。,702万,http://music.163.com/playlist?id=2132009349
华研国际热门音乐精选50首,1036万,http://music.163.com/playlist?id=2120700410
听说把糖放在枕头底下会做一个甜甜的梦,614万,http://music.163.com/playlist?id=2091484707
古风精选 你眼中是江湖 我眼中是你,593万,http://music.163.com/playlist?id=2074681032
痛彻心扉地哭，然后刻骨铭心地记住,911万,http://music.163.com/playlist?id=2059430694
只是想安静的 享受那份呼吸的感觉。o・°。,635万,http://music.163.com/playlist?id=2058497430
百首日系抒情，总有一首触动你的心,533万,http://music.163.com/playlist?id=2048970456
2018全年抖腿指南，老铁你怕了吗？,1079万,http://music.163.com/playlist?id=2050704516
2017至2018最火的歌,1029万,http://music.163.com/playlist?id=2055854229
『曲作精选』细数古风圈原创作曲人❶,658万,http://music.163.com/playlist?id=2041615881
【节奏控】好听又带感的英文歌(2017总结篇),2389万,http://music.163.com/playlist?id=2036883936
华语 | 听歌最怕应景，触景最怕生情,1452万,http://music.163.com/playlist?id=2042006896
粤语女声 I 故事太多 没人会听你诉说,651万,http://music.163.com/playlist?id=2047424322
再深的感情也抵挡不住缘分的交错,684万,http://music.163.com/playlist?id=2036154174
『致前任』我曾经很喜欢你 但也只能到这里,875万,http://music.163.com/playlist?id=2049424729
你说你很累，可谁又活得顺风顺水,767万,http://music.163.com/playlist?id=2055724092
粤语男声 I 我已见过银河 但我只爱一颗星,564万,http://music.163.com/playlist?id=2023551932
妈妈，他的糖里有毒,1145万,http://music.163.com/playlist?id=2052760419
2017年度最热新歌TOP100,4685万,http://music.163.com/playlist?id=2039073542
2017年度最受欢迎个性推荐歌曲,4622万,http://music.163.com/playlist?id=2039098272
确认过眼神，余生都是你,743万,http://music.163.com/playlist?id=2050135367
愿还会有人，做个傻子陪你浪费一生,531万,http://music.163.com/playlist?id=2042205655
分手后再次与前任相见你会怎么办？,1442万,http://music.163.com/playlist?id=2045750454
【 2017 YouTube收听量最高的欧美歌曲 】,1612万,http://music.163.com/playlist?id=1991596470
人这一辈子，最怕突然听懂了一首歌。,1188万,http://music.163.com/playlist?id=2020864493
华语||我不怕等待，我怕你不来,507万,http://music.163.com/playlist?id=2031595851
适合努力学习英语时听的歌曲,1087万,http://music.163.com/playlist?id=2015397679
无前奏丨女声丨欧美丨三秒爱上,654万,http://music.163.com/playlist?id=2008935342
2018年四月最热新歌TOP50,657万,http://music.163.com/playlist?id=2208764332
